Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,February,,,,,,,,,
,,,,,,,,,,
,Income,Goal,,,Juan's Spending Record,,,,,
,Job,41000,41000.0,,Date,Store,Details,,Expense Category,Payment Method
,Other,0,0.0,,2023-02-01 00:00:00,My Boss,paycheck,41000.0,Income Job,Cash
,Total Income:,41000,41000.0,,,,,,,
,,,41000.0,,,,,,,
,Expenses,Goal,0.0,,,,,,,
,Tithing,4100,41000.0,,,,,,,
,Fast Offering,300,0.0,,,,,,,
,Taxes,3933.31,0.0,,,,,,,
,Tuition,680,0.0,,,,,,,
,Housing,10500,0.0,,,,,,,
,Utilities,3300,0.0,,,,,,,
,Cell Phone,3626.64,0.0,,,,,,,
,Internet,5400,0.0,,,,,,,
,Transportation,2500,0.0,,,,,,,
,Groceries,5000,0.0,,,,,,,
,Other,1500,0.0,,,,,,,
,Emergency Fund,0,0.0,,,,,,,
,Total Expenses:,40839.95,0.0,,,,,,,
,,,,,,,,,,
,Cash Flow Summary,Goal,,,,,,,,
,Total Income,41000,41000.0,,,,,,,
,Total Expenses,40839.95,0.0,,,,,,,
,Monthly Cash Flow:,160.0500000000029,41000.0,,,,,,,
